DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6020;P6040;DPTO;AREA;FEX_C
2187;1;1;1;10;2;0;97;97;9,89122303894115
2187;1;2;1;10;2;0;97;97;9,89122303894115
2187;1;3;1;10;2;47;97;97;9,89122303894115
2187;1;4;1;10;1;5;97;97;9,89122303894115
2187;1;5;1;10;1;16;97;97;9,89122303894115
2187;1;6;1;10;1;32;97;97;9,89122303894115
2195;1;1;1;10;1;35;99;99;2,21141086146294
2195;1;2;1;10;2;26;99;99;2,21141086146294
2205;1;1;1;10;1;0;94;94;3,48826226190897
2217;1;1;1;10;1;39;97;97;1,91408142681892
2217;1;2;1;10;2;33;97;97;1,91408142681892
2217;1;3;1;10;1;9;97;97;1,91408142681892
2232;1;1;1;10;1;30;99;99;4,1046288214264
2234;1;1;1;10;2;53;97;97;2,1730585450172
2234;1;2;1;10;1;27;97;97;2,1730585450172
2234;1;3;1;10;1;3;97;97;2,1730585450172
2242;2;1;2;10;1;54;94;94;2,55011841946562
2242;2;2;2;10;2;55;94;94;2,55011841946562
2242;2;3;2;10;1;17;94;94;2,55011841946562
2271;1;1;1;10;1;57;97;97;8,69223418006879
2271;1;2;1;10;2;40;97;97;8,69223418006879
2271;1;3;1;10;1;17;97;97;8,69223418006879
2271;1;4;1;10;1;9;97;97;8,69223418006879
2271;1;5;1;10;2;0;97;97;8,69223418006879
2330;1;1;1;10;2;33;97;97;9,89122303894115
2330;1;2;1;10;2;9;97;97;9,89122303894115
2330;1;3;1;10;2;5;97;97;9,89122303894115
2330;1;4;1;10;2;40;97;97;9,89122303894115
2330;1;5;1;10;1;18;97;97;9,89122303894115
2330;1;6;1;10;2;8;97;97;9,89122303894115
2331;1;1;1;10;2;55;99;99;2,76767824148621
2331;1;2;1;10;1;61;99;99;2,76767824148621
2331;1;3;1;10;2;9;99;99;2,76767824148621
2335;1;1;1;10;2;53;97;97;1,58966084554411
2345;1;1;1;10;1;0;99;99;5,63382167799033
2369;1;1;1;10;1;68;97;97;2,47280575973529
2440;1;1;1;10;2;67;91;91;7,48092157121654
2440;1;2;1;10;1;47;91;91;7,48092157121654
2441;1;1;1;10;2;42;99;99;2,10610558174391
2441;1;2;1;10;1;89;99;99;2,10610558174391
2441;1;3;1;10;2;73;99;99;2,10610558174391
2441;1;4;1;10;2;14;99;99;2,10610558174391
2457;1;1;1;10;2;61;91;91;5,8578585388609
