DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;DPTO;AREA;DSI;FEX_C
2234;1;2;1;70;97;97;1;2,1730585450172
2271;1;2;1;70;97;97;1;8,69223418006879
2440;1;2;1;70;91;91;1;7,48092157121654
2481;1;1;1;70;99;99;1;6,37194370574271
2507;1;2;1;70;97;97;1;1,89475311744086
2628;1;2;1;70;95;95;1;9,07633656905711
2628;1;3;1;70;95;95;1;9,07633656905711
3275;1;1;1;70;94;94;1;2,49781303383847
3296;1;2;1;70;94;94;1;2,72425670533321
3576;1;3;1;70;95;95;1;9,02030980186626
3657;1;2;1;70;95;95;1;6,85309251180748
3657;1;3;1;70;95;95;1;6,85309251180748
3765;1;2;1;70;95;95;1;69,0936121256411
3765;1;3;1;70;95;95;1;69,0936121256411
3832;1;1;1;70;95;95;1;9,07633656905711
3832;1;2;1;70;95;95;1;9,07633656905711
3870;1;3;1;70;95;95;1;7,94179449720012
4289;1;1;1;70;95;95;1;9,02030980186626
4289;1;2;1;70;95;95;1;9,02030980186626
4289;1;3;1;70;95;95;1;9,02030980186626
4423;1;2;1;70;95;95;1;9,02030980186626
4423;1;3;1;70;95;95;1;9,02030980186626
4668;1;1;1;70;85;85;1;22,526103778363
4720;1;4;1;70;91;91;1;7,08901768196019
4846;1;1;1;70;94;94;1;2,04019379239413
4941;1;3;1;70;97;97;1;2,1730585450172
5032;1;1;1;70;91;91;1;4,67286208721731
5034;1;1;1;70;91;91;1;6,18981312996231
5051;1;1;1;70;91;91;1;5,98560503145027
5051;1;2;1;70;91;91;1;5,98560503145027
5153;1;3;1;70;94;94;1;4,48404644308587
5236;1;4;1;70;94;94;1;2,71201866922649
5251;1;3;1;70;94;94;1;2,86796441640006
5272;1;1;1;70;94;94;1;4,73302568810276
5278;1;3;1;70;94;94;1;1,31449311031894
5302;1;1;1;70;91;91;1;5,86355463237092
5659;1;1;1;70;99;99;1;3,44858718169985
5665;1;1;1;70;81;81;1;7,59043141597366
5665;1;2;1;70;81;81;1;7,59043141597366
6031;1;1;1;70;81;81;1;7,59043141597366
6111;1;1;1;70;86;86;1;7,18709878736665
6111;1;3;1;70;86;86;1;7,18709878736665
6316;1;1;1;70;99;99;1;6,56030669541814
6418;1;2;1;70;99;99;1;3,37287757343604
6650;1;2;1;70;99;99;1;2,66773373687562
6661;1;2;1;70;81;81;1;7,59043141597366
6981;1;1;1;70;85;85;1;21,7378888294125
7132;1;1;1;70;99;99;1;4,26511255199556
7132;1;2;1;70;99;99;1;4,26511255199556
7167;1;1;1;70;99;99;1;3,51825327450312
7241;1;4;1;70;86;86;1;4,38241856314117
7432;1;3;1;70;95;95;1;6,32593154936075
7432;1;7;1;70;95;95;1;6,32593154936075
7437;1;2;1;70;99;99;1;1,89549502356952
7606;1;2;1;70;86;86;1;8,82456208483485
7619;1;1;1;70;86;86;1;9,98892954117097
7659;1;1;1;70;86;86;1;8,4354646551093
7659;1;2;1;70;86;86;1;8,4354646551093
7732;1;5;1;70;86;86;1;8,71116946508641
7769;1;1;1;70;86;86;1;10,1133043649845
7769;1;2;1;70;86;86;1;10,1133043649845
7799;1;2;1;70;86;86;1;8,2920579197838
7827;1;1;1;70;95;95;1;6,32593154936075
7946;1;3;1;70;95;95;1;5,79877058691403
8002;1;1;1;70;95;95;1;12,6288073336026
8178;1;4;1;70;85;85;1;25,0959015763977
8332;1;1;1;70;85;85;1;22,538742877439
8349;1;2;1;70;81;81;1;7,59043141597366
8514;1;3;1;70;85;85;1;15,8662418296111
8742;1;4;1;70;91;91;1;4,270956173601
8806;1;3;1;70;91;91;1;3,74102359725537
8921;1;2;1;70;94;94;1;2,083321910025
9069;1;1;1;70;97;97;1;4,19732438555305
9069;1;2;1;70;97;97;1;4,19732438555305
9082;1;2;1;70;85;85;1;24,1971247373865
