DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;DPTO;AREA;INI;FEX_C
2187;1;3;1;80;97;97;1;9,89122303894115
2187;1;5;1;80;97;97;1;9,89122303894115
2187;1;6;1;80;97;97;1;9,89122303894115
2217;1;1;1;80;97;97;1;1,91408142681892
2217;1;2;1;80;97;97;1;1,91408142681892
2234;1;1;1;80;97;97;1;2,1730585450172
2242;2;2;2;80;94;94;1;2,55011841946562
2271;1;3;1;80;97;97;1;8,69223418006879
2330;1;4;1;80;97;97;1;9,89122303894115
2330;1;5;1;80;97;97;1;9,89122303894115
2331;1;2;1;80;99;99;1;2,76767824148621
2369;1;1;1;80;97;97;1;2,47280575973529
2440;1;1;1;80;91;91;1;7,48092157121654
2441;1;2;1;80;99;99;1;2,10610558174391
2441;1;3;1;80;99;99;1;2,10610558174391
2441;1;4;1;80;99;99;1;2,10610558174391
2457;1;1;1;80;91;91;1;5,8578585388609
2481;1;2;1;80;99;99;1;6,37194370574271
2481;1;3;1;80;99;99;1;6,37194370574271
2502;1;1;1;80;97;97;1;4,40783472154447
2507;1;1;1;80;97;97;1;1,89475311744086
2507;1;3;1;80;97;97;1;1,89475311744086
2507;1;4;1;80;97;97;1;1,89475311744086
2507;1;5;1;80;97;97;1;1,89475311744086
2520;1;1;1;80;94;94;1;2,94318519563167
2520;1;3;1;80;94;94;1;2,94318519563167
2531;1;1;1;80;91;91;1;8,62437867718679
2531;1;2;1;80;91;91;1;8,62437867718679
2531;1;3;1;80;91;91;1;8,62437867718679
2531;1;4;1;80;91;91;1;8,62437867718679
2537;1;3;1;80;94;94;1;3,24116540431251
2537;1;4;1;80;94;94;1;3,24116540431251
3207;1;2;1;80;99;99;1;6,46533130921708
3207;1;3;1;80;99;99;1;6,46533130921708
3207;1;4;1;80;99;99;1;6,46533130921708
3207;1;6;1;80;99;99;1;6,46533130921708
3216;1;1;1;80;99;99;1;5,35803302998354
3216;1;4;1;80;99;99;1;5,35803302998354
3227;1;1;1;80;99;99;1;3,64063314069664
3247;1;1;1;80;97;97;1;1,91408142681892
3247;1;2;1;80;97;97;1;1,91408142681892
3247;1;3;1;80;97;97;1;1,91408142681892
3259;1;2;1;80;99;99;1;7,84608424414098
3270;1;2;1;80;95;95;1;6,85309251180748
3270;1;3;1;80;95;95;1;6,85309251180748
3296;1;1;1;80;94;94;1;2,72425670533321
3296;1;4;1;80;94;94;1;2,72425670533321
3325;1;2;1;80;99;99;1;7,34512229190663
3337;1;1;1;80;99;99;1;3,28483971745498
3382;1;1;1;80;94;94;1;2,7449501588539
3382;1;2;1;80;94;94;1;2,7449501588539
3382;1;3;1;80;94;94;1;2,7449501588539
3490;1;1;1;80;94;94;1;2,31300157042258
3490;1;2;1;80;94;94;1;2,31300157042258
3491;1;2;1;80;95;95;1;9,07633656905711
3491;1;3;1;80;95;95;1;9,07633656905711
3491;1;7;1;80;95;95;1;9,07633656905711
3506;1;2;1;80;94;94;1;2,52955200701262
3558;1;1;1;80;95;95;1;6,85309251180748
3576;1;2;1;80;95;95;1;9,02030980186626
3584;1;1;1;80;99;99;1;2,08504452592648
3584;1;2;1;80;99;99;1;2,08504452592648
3654;1;1;1;80;95;95;1;9,02030980186626
3654;1;3;1;80;95;95;1;9,02030980186626
3678;1;2;1;80;99;99;1;6,36826073642134
3765;1;1;1;80;95;95;1;69,0936121256411
3767;1;2;1;80;95;95;1;15,7249939384768
3849;1;1;1;80;85;85;1;30,8067572087494
3870;1;2;1;80;95;95;1;7,94179449720012
3870;1;4;1;80;95;95;1;7,94179449720012
4377;1;3;1;80;95;95;1;9,07633656905711
4377;1;4;1;80;95;95;1;9,07633656905711
4377;1;6;1;80;95;95;1;9,07633656905711
4407;1;2;1;80;95;95;1;9,02030980186626
4407;1;3;1;80;95;95;1;9,02030980186626
4407;1;4;1;80;95;95;1;9,02030980186626
4423;1;4;1;80;95;95;1;9,02030980186626
4423;1;5;1;80;95;95;1;9,02030980186626
4637;1;1;1;80;97;97;1;2,74533155905619
4668;1;2;1;80;85;85;1;22,526103778363
4668;1;3;1;80;85;85;1;22,526103778363
4673;1;3;1;80;97;97;1;1,58966084554411
4707;1;1;1;80;91;91;1;6,49287262757142
4707;1;2;1;80;91;91;1;6,49287262757142
4720;1;2;1;80;91;91;1;7,08901768196019
4725;1;3;1;80;85;85;1;36,9151451415398
4725;1;4;1;80;85;85;1;36,9151451415398
4725;1;6;1;80;85;85;1;36,9151451415398
4729;1;1;1;80;97;97;1;2,64045360761044
4771;1;2;1;80;91;91;1;6,17116338320254
4846;1;2;1;80;94;94;1;2,04019379239413
4846;1;4;1;80;94;94;1;2,04019379239413
4846;1;5;1;80;94;94;1;2,04019379239413
4904;1;1;1;80;91;91;1;4,39407770348479
4904;1;2;1;80;91;91;1;4,39407770348479
