DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;DPTO;P6430S1;P6500;P6750;P6760;P6800;P6850;P6830;P6830S1;AREA;OCI;FEX_C;P6430;RAMA4D_R4;OFICIO;RAMA2D_R4
2195;1;1;1;60;99; ;4000000; ; ;60;60; ; ;99;1;2,21141086146294;2;8422;21;84
2195;1;2;1;60;99; ; ;3400000;1;40;24;6; ;99;1;2,21141086146294;4;8415;39;84
2232;1;1;1;60;99; ;2000000; ; ;94;100; ; ;99;1;4,1046288214264;2;8422;07;84
2242;2;1;2;60;94; ; ;2500000;1;54;54; ; ;94;1;2,55011841946562;4;3313;21;33
2242;2;3;2;60;94; ; ; ; ;20;20; ; ;94;1;2,55011841946562;6;3313;39;33
2271;1;1;1;60;97; ;4000000; ; ;40;0;5; ;97;1;8,69223418006879;2;8530;13;85
2330;1;1;1;60;97; ; ;2500000;1;40;40; ; ;97;1;9,89122303894115;4;8414;39;84
2331;1;1;1;60;99; ; ;99;1;48;48; ; ;99;1;2,76767824148621;4;4711;41;47
2335;1;1;1;60;97; ;3900000; ; ;40;40; ; ;97;1;1,58966084554411;2;8415;39;84
2441;1;1;1;60;99; ;98; ; ;127;0;7;POR EL VIRUS COVI 19;99;1;2,10610558174391;2;8513;13;85
2489;2;1;2;60;97; ;1400000; ; ;52;52; ; ;97;1;1,58966084554411;2;8412;03;84
2520;1;2;1;60;94; ; ;98;1;45;0;6; ;94;1;2,94318519563167;4;9601;56;96
2537;1;1;1;60;94; ;1860000; ; ;48;48; ; ;94;1;3,24116540431251;1;8610;30;86
2537;1;2;1;60;94; ;1050000; ; ;56;56; ; ;94;1;3,24116540431251;1;8610;59;86
2579;1;1;1;60;99; ;700000; ; ;46;46; ; ;99;1;2,10610558174391;1;4111;95;41
2579;1;2;1;60;99; ; ;600000;1;20;12;6; ;99;1;2,10610558174391;4;9602;57;96
2579;1;3;1;60;99; ; ;700000;1;40;40; ; ;99;1;2,10610558174391;4;2395;89;23
2579;1;4;1;60;99; ;7000000; ; ;48;48; ; ;99;1;2,10610558174391;1;4111;95;41
2628;1;1;1;60;95; ; ;400000;1;84;0;7;CUARENTENA;95;1;9,07633656905711;5;0312;64;03
3164;1;1;1;60;95; ; ;400000;1;66;55;5; ;95;1;6,85309251180748;5;5611;51;56
3164;1;2;1;60;95; ; ; ; ;14;10;5; ;95;1;6,85309251180748;6;5611;99;56
3164;1;3;1;60;95; ;300000; ; ;90;60;5; ;95;1;6,85309251180748;1;5611;53;56
3164;1;4;1;60;95; ;300000; ; ;90;60;5; ;95;1;6,85309251180748;1;5611;53;56
3207;1;1;1;60;99; ; ;600000;1;98;98; ; ;99;1;6,46533130921708;4;4921;98;49
3216;1;3;1;60;99; ; ;400;1;40;40; ; ;99;1;5,35803302998354;4;4781;45;47
3227;1;2;1;60;99; ;1100000; ; ;48;48; ; ;99;1;3,64063314069664;1;7490;58;74
3259;1;1;1;60;99; ;900000; ; ;48;30;7;COVID 19;99;1;7,84608424414098;1;4711;45;47
3270;1;1;1;60;95; ;1027000; ; ;48;0;5; ;95;1;6,85309251180748;1;4754;30;47
3325;1;1;1;60;99; ; ;80000;1;30;0;7;POR EL VIRUS COVID 19;99;1;7,34512229190663;4;5619;77;56
3340;1;1;1;60;97; ; ;2500000;1;40;40; ; ;97;1;2,47280575973529;5;5021;21;50
3340;1;2;1;60;97; ;1000000; ; ;40;40; ; ;97;1;2,47280575973529;1;5021;39;50
3362;1;1;1;60;95; ;1200000; ; ;70;70; ; ;95;1;6,85309251180748;2;8422;58;84
3362;1;2;1;60;95; ;600000; ; ;45;45; ; ;95;1;6,85309251180748;1;5611;53;56
3469;1;1;1;60;95; ;600000; ; ;70;70; ; ;95;1;59,6219048527251;8;0141;62;01
3469;1;2;1;60;95; ;240000; ; ;30;25;5; ;95;1;59,6219048527251;1;6190;38;61
3491;1;1;1;60;95; ; ;550000;1;50;40;6; ;95;1;9,07633656905711;4;0311;64;03
3491;1;4;1;60;95; ; ;1200000;1;54;40;5; ;95;1;9,07633656905711;4;1081;77;10
3491;1;5;1;60;95; ; ;500000;1;24;24; ; ;95;1;9,07633656905711;4;9601;56;96
3491;1;6;1;60;95; ; ;900000;1;48;30;5; ;95;1;9,07633656905711;4;4111;95;41
3506;1;1;1;60;94; ; ;99;1;50;50; ; ;94;1;2,52955200701262;4;8121;55;81
3576;1;1;1;60;95; ; ;877000;1;54;0;7;cuarentena del covid 19;95;1;9,02030980186626;4;4923;98;49
3654;1;2;1;60;95; ; ;1200000;1;40;0;7;CUARENTENA COVID 19;95;1;9,02030980186626;4;4542;84;45
3654;1;4;1;60;95; ;400000; ; ;40;0;7;CUARENTENA POR COVID19;95;1;9,02030980186626;1;4542;84;45
3657;1;1;1;60;95; ; ;450000;1;40;24;5; ;95;1;6,85309251180748;4;8121;55;81
3657;1;4;1;60;95; ;50000; ; ;6;4;5; ;95;1;6,85309251180748;3;9700;55;97
3678;1;1;1;60;99; ;560000; ; ;28;8;5; ;99;1;6,36826073642134;1;5112;97;51
3695;1;1;1;60;97; ;4000000; ; ;40;30;5; ;97;1;2,64045360761044;2;8411;39;84
3739;1;1;1;60;95; ; ;20000;1;4;4; ; ;95;1;6,85309251180748;4;4520;84;45
3739;1;2;1;60;95; ; ;15000;1;42;42; ; ;95;1;6,85309251180748;4;3830;99;38
