DIRECTORIO;AREA;ocupados;sexo;estudia;edad;educación
4903659;5;1;0;0;38;6
4903659;5;1;1;1;47;6
4903660;5;0;1;0;79;6
4903660;5;0;0;0;67;5
4903660;5;1;0;0;42;6
4903661;5;1;0;0;58;4
4903661;5;0;0;1;18;6
4903662;5;1;0;0;48;4
4903662;5;0;1;1;20;6
4903662;5;0;1;1;15;4
4903663;5;1;0;0;22;6
4903663;5;1;1;0;27;5
4903664;5;1;1;0;3;1
4903665;5;1;0;1;53;6
4903665;5;0;0;0;31;6
4903666;5;1;0;1;10;3
4903666;5;1;0;0;59;5
4903667;5;0;0;0;35;6
4903667;5;1;1;0;26;6
4903667;5;0;1;;2;
4903667;5;1;1;0;59;5
4903668;5;1;0;0;53;3
4903668;5;1;0;0;28;6
4903669;5;0;1;1;9;3
4903669;5;1;1;1;26;6
4903669;5;0;0;0;30;6
4903670;5;1;0;1;34;6
4903670;5;0;0;1;10;3
4903670;5;0;0;0;68;3
4903671;5;1;0;0;37;5
4903672;5;0;1;1;18;6
4903672;5;0;1;0;54;3
4903672;5;0;0;0;46;4
4903673;5;0;1;1;13;4
4903674;5;1;0;1;9;3
4903674;5;1;1;0;54;3
4903675;5;0;0;0;55;5
4903675;5;0;1;0;59;3
4903676;5;1;1;1;12;9
4903677;5;1;0;0;50;6
4903678;5;0;0;0;26;6
4903678;5;1;0;0;28;6
4903678;5;1;1;0;53;3
4903679;5;0;0;0;43;3
4903679;5;1;0;1;8;3
4903680;5;1;1;0;4;1
4903680;5;0;0;0;57;3
4903681;5;0;0;0;31;6
4903682;5;0;0;0;71;3
4903682;5;0;0;0;27;6
4903682;5;0;0;0;23;6
4903683;5;0;0;0;63;3
4903683;5;0;1;0;41;4
4903684;5;0;1;0;39;5
4903684;5;0;0;0;32;6
4903684;5;0;1;1;11;3
4903684;5;0;0;0;80;6
4903686;5;1;1;0;90;6
4903686;5;1;0;0;56;1
4903686;5;1;0;1;53;6
4903686;5;0;0;0;69;6
4903686;5;0;0;0;74;4
4903687;5;1;0;0;65;6
4903687;5;0;1;0;31;6
4903688;5;0;1;1;7;3
4903688;5;0;1;0;79;5
4903689;5;0;1;0;70;4
4903689;5;1;1;0;52;5
4903690;5;0;0;0;55;5
4903690;5;0;0;1;29;6
4903690;5;1;0;0;17;5
4903691;5;1;0;0;77;3
4903691;5;1;0;0;52;5
4903691;5;0;0;1;18;6
4903692;5;0;1;0;72;6
